iter	Passed	Remaining
0	2	230
1	3	182
2	5	162
3	6	145
4	7	141
5	8	135
6	10	133
7	11	130
8	12	127
9	13	124
10	15	123
11	16	121
12	18	120
13	19	120
14	20	118
15	22	117
16	23	115
17	24	113
18	26	111
19	27	110
20	28	107
21	29	106
22	31	104
23	32	102
24	33	101
25	34	99
26	36	97
27	37	95
28	38	94
29	39	92
30	41	91
31	42	90
32	43	88
33	44	87
34	45	85
35	47	83
36	48	82
37	49	80
38	50	79
39	51	77
40	53	76
41	53	74
42	54	72
43	56	71
44	57	70
45	58	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	62
51	66	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	44
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	102	22
82	104	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	116	8
93	117	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
