iter	Passed	Remaining
0	146	146113
1	149	74480
2	151	50320
3	153	38328
4	156	31110
5	158	26292
6	160	22819
7	163	20246
8	165	18257
9	168	16685
10	170	15356
11	173	14264
12	175	13301
13	177	12489
14	179	11766
15	181	11137
16	183	10614
17	185	10123
18	187	9698
19	189	9292
20	191	8937
21	194	8638
22	197	8375
23	199	8098
24	201	7842
25	202	7602
26	204	7374
27	206	7173
28	208	6988
29	211	6828
30	213	6676
31	215	6523
32	217	6373
33	219	6227
34	220	6091
35	222	5966
36	225	5862
37	227	5758
38	229	5661
39	231	5563
40	233	5464
41	236	5383
42	238	5309
43	240	5234
44	245	5202
45	250	5196
46	261	5292
47	263	5218
48	265	5145
49	268	5092
50	271	5053
51	274	5003
52	275	4930
53	277	4857
54	278	4788
55	279	4717
56	281	4649
57	283	4601
58	285	4555
59	287	4500
60	288	4438
61	289	4377
62	290	4316
63	291	4259
64	292	4202
65	293	4147
66	293	4092
67	294	4039
68	296	4000
69	297	3957
70	299	3922
71	300	3879
72	301	3834
73	302	3789
74	303	3746
75	304	3703
76	305	3661
77	306	3619
78	307	3579
79	307	3540
80	308	3503
81	309	3466
82	310	3426
83	311	3394
84	312	3364
85	314	3342
86	315	3311
87	316	3281
88	317	3251
89	318	3221
90	319	3191
91	320	3162
92	321	3133
93	322	3104
94	323	3077
95	324	3053
96	326	3035
97	327	3012
98	328	2993
99	329	2969
100	331	2946
101	332	2923
102	333	2900
103	334	2878
104	335	2858
105	336	2836
106	337	2813
107	337	2791
108	338	2769
109	339	2748
110	340	2729
111	342	2712
112	343	2698
113	344	2680
114	345	2660
115	346	2643
116	347	2624
117	348	2607
118	349	2588
119	351	2575
120	352	2557
121	352	2538
122	353	2520
123	354	2503
124	355	2487
125	356	2474
126	357	2460
127	359	2447
128	360	2433
129	361	2417
130	362	2403
131	363	2387
132	364	2374
133	365	2359
134	366	2345
135	366	2330
136	367	2315
137	368	2301
138	369	2288
139	370	2276
140	371	2265
141	373	2256
142	374	2245
143	375	2233
144	376	2221
145	377	2208
146	378	2196
147	379	2185
148	380	2173
149	381	2160
150	382	2148
151	382	2135
152	383	2124
153	384	2113
154	385	2104
155	387	2098
156	389	2089
157	390	2080
158	391	2070
159	392	2060
160	392	2047
161	394	2038
162	394	2027
163	395	2017
164	396	2006
165	397	1996
166	398	1985
167	399	1976
168	400	1968
169	402	1963
170	403	1955
171	404	1947
172	405	1938
173	406	1930
174	407	1921
175	408	1912
176	409	1903
177	410	1894
178	410	1884
179	411	1875
180	412	1867
181	414	1860
182	415	1854
183	417	1850
184	418	1843
185	419	1835
186	420	1827
187	421	1819
188	422	1811
189	423	1804
190	424	1795
191	424	1787
192	425	1779
193	426	1771
194	427	1763
195	428	1757
196	429	1750
197	432	1750
198	433	1745
199	434	1738
200	435	1731
201	436	1724
202	437	1717
203	438	1710
204	439	1703
205	440	1696
206	440	1688
207	441	1682
208	442	1676
209	443	1669
210	445	1667
211	447	1662
212	448	1655
213	448	1648
214	449	1642
215	450	1636
216	451	1630
217	452	1623
218	453	1617
219	454	1610
220	455	1604
221	455	1597
222	456	1592
223	458	1588
224	460	1587
225	462	1582
226	463	1577
227	464	1572
228	465	1567
229	466	1562
230	467	1556
231	468	1551
232	469	1545
233	470	1539
234	470	1533
235	472	1528
236	473	1524
237	475	1521
238	476	1516
239	477	1512
240	478	1507
241	479	1502
242	480	1496
243	481	1491
244	482	1486
245	483	1481
246	484	1476
247	485	1471
248	486	1466
249	487	1462
250	488	1458
251	490	1456
252	491	1452
253	492	1447
254	493	1442
255	494	1437
256	495	1432
257	496	1427
258	497	1423
259	498	1418
260	499	1413
261	500	1408
262	500	1403
263	502	1400
264	503	1396
265	505	1394
266	506	1390
267	507	1386
268	508	1382
269	509	1377
270	510	1373
271	511	1369
272	512	1364
273	513	1360
274	514	1355
275	515	1351
276	516	1347
277	517	1344
278	519	1342
279	520	1338
280	521	1334
281	522	1330
282	523	1326
283	524	1322
284	525	1318
285	526	1314
286	527	1310
287	528	1306
288	529	1301
289	530	1297
290	531	1294
291	532	1291
292	534	1288
293	535	1285
294	536	1281
295	537	1278
296	538	1274
297	539	1271
298	540	1267
299	541	1263
300	542	1259
301	543	1255
302	544	1251
303	545	1248
304	546	1244
305	547	1242
306	549	1239
307	550	1235
308	551	1232
309	551	1228
310	552	1224
311	554	1222
312	555	1218
313	556	1215
314	557	1211
315	558	1208
316	559	1204
317	560	1201
318	561	1198
319	562	1194
320	563	1192
321	564	1188
322	565	1185
323	566	1182
324	567	1179
325	568	1176
326	569	1172
327	570	1169
328	571	1166
329	572	1162
330	573	1159
331	574	1155
332	575	1152
333	576	1149
334	578	1147
335	579	1145
336	581	1143
337	581	1139
338	582	1136
339	583	1133
340	584	1130
341	586	1128
342	587	1125
343	588	1122
344	590	1120
345	591	1117
346	592	1115
347	594	1113
348	595	1110
349	596	1107
350	597	1104
351	598	1101
352	599	1098
353	600	1095
354	601	1092
355	602	1089
356	603	1086
357	604	1083
358	605	1081
359	607	1079
360	608	1077
361	609	1074
362	610	1071
363	611	1068
364	612	1065
365	613	1062
366	614	1059
367	615	1056
368	616	1054
369	617	1051
370	618	1048
371	619	1046
372	620	1043
373	622	1041
374	623	1039
375	624	1036
376	625	1034
377	626	1031
378	627	1028
379	628	1025
380	630	1023
381	630	1020
382	631	1018
383	632	1015
384	633	1012
385	635	1010
386	636	1008
387	638	1006
388	639	1004
389	640	1002
390	641	999
391	642	996
392	643	994
393	644	991
394	645	988
395	646	985
396	647	982
397	647	979
398	648	977
399	650	975
400	651	973
401	654	973
402	655	970
403	656	968
404	657	965
405	658	963
406	659	960
407	660	958
408	661	955
409	661	952
410	662	949
411	664	948
412	666	947
413	667	945
414	668	942
415	669	940
416	670	937
417	671	935
418	672	932
419	673	930
420	674	927
421	675	924
422	675	922
423	676	919
424	677	916
425	678	914
426	680	912
427	681	910
428	683	909
429	684	907
430	685	904
431	686	902
432	687	899
433	688	897
434	689	895
435	690	892
436	690	890
437	691	887
438	692	885
439	693	882
440	695	881
441	696	878
442	697	877
443	698	875
444	699	872
445	701	870
446	702	868
447	703	866
448	704	863
449	705	861
450	706	859
451	706	857
452	708	854
453	709	852
454	710	850
455	711	848
456	712	846
457	713	844
458	714	842
459	715	840
460	717	839
461	719	838
462	720	836
463	721	833
464	724	833
465	726	832
466	728	831
467	729	828
468	730	826
469	731	824
470	732	822
471	733	820
472	734	817
473	735	815
474	735	813
475	736	810
476	738	810
477	740	808
478	741	806
479	742	804
480	743	801
481	744	799
482	745	797
483	746	795
484	746	793
485	747	791
486	748	788
487	749	786
488	750	784
489	751	782
490	752	780
491	753	778
492	755	777
493	757	775
494	758	773
495	759	771
496	759	769
497	760	766
498	761	764
499	762	762
500	763	760
501	764	758
502	765	756
503	766	753
504	767	751
505	768	750
506	770	748
507	771	747
508	772	745
509	773	743
510	774	740
511	775	738
512	776	737
513	777	734
514	778	732
515	778	730
516	779	728
517	780	726
518	781	724
519	782	722
520	785	721
521	787	720
522	788	718
523	789	717
524	790	715
525	791	712
526	791	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	798	699
533	799	697
534	800	695
535	801	693
536	802	691
537	804	691
538	805	689
539	806	687
540	807	685
541	809	684
542	811	682
543	814	682
544	815	680
545	816	678
546	817	676
547	818	674
548	819	672
549	820	670
550	820	668
551	821	666
552	822	664
553	823	662
554	823	660
555	824	658
556	825	656
557	826	654
558	827	652
559	828	650
560	830	649
561	831	648
562	832	646
563	833	644
564	834	642
565	834	640
566	835	638
567	836	636
568	837	634
569	838	632
570	838	630
571	839	628
572	840	626
573	841	624
574	842	622
575	843	621
576	844	619
577	846	617
578	846	615
579	847	613
580	848	612
581	849	610
582	850	608
583	851	606
584	851	604
585	852	602
586	853	600
587	854	598
588	855	596
589	855	594
590	856	592
591	857	591
592	859	589
593	860	587
594	860	586
595	861	584
596	862	582
597	863	580
598	863	578
599	864	576
600	865	574
601	865	572
602	866	570
603	867	568
604	867	566
605	868	564
606	869	562
607	870	561
608	870	559
609	871	557
610	872	555
611	874	554
612	875	552
613	876	551
614	877	549
615	878	547
616	879	545
617	880	543
618	880	542
619	881	540
620	882	538
621	882	536
622	883	534
623	884	532
624	885	531
625	885	529
626	886	527
627	888	526
628	889	524
629	890	522
630	891	521
631	891	519
632	892	517
633	893	515
634	894	513
635	894	512
636	895	510
637	896	508
638	897	506
639	897	505
640	898	503
641	899	501
642	900	499
643	900	497
644	901	496
645	903	494
646	904	493
647	905	491
648	905	489
649	906	488
650	907	486
651	908	484
652	909	483
653	910	481
654	911	480
655	912	478
656	912	476
657	913	474
658	914	473
659	915	471
660	917	470
661	918	469
662	919	467
663	920	465
664	921	464
665	921	462
666	922	460
667	923	458
668	924	457
669	924	455
670	925	453
671	926	452
672	927	450
673	927	448
674	928	447
675	929	445
676	930	443
677	931	442
678	933	441
679	934	439
680	935	438
681	936	436
682	936	434
683	937	433
684	938	431
685	939	430
686	940	428
687	941	426
688	942	425
689	943	423
690	944	422
691	945	421
692	947	419
693	950	418
694	950	417
695	951	415
696	952	414
697	953	412
698	953	410
699	954	409
700	955	407
701	956	406
702	957	404
703	958	403
704	959	401
705	960	400
706	962	398
707	963	397
708	964	395
709	965	394
710	966	392
711	967	391
712	968	389
713	968	388
714	969	386
715	970	384
716	971	383
717	972	381
718	972	380
719	973	378
720	974	377
721	975	375
722	976	374
723	977	372
724	978	371
725	979	369
726	980	368
727	980	366
728	981	364
729	982	363
730	983	361
731	984	360
732	985	358
733	985	357
734	986	355
735	987	354
736	988	352
737	989	351
738	991	350
739	992	348
740	993	347
741	994	345
742	995	344
743	996	342
744	996	341
745	997	339
746	998	338
747	999	336
748	1001	335
749	1001	333
750	1002	332
751	1003	330
752	1004	329
753	1004	327
754	1006	326
755	1007	325
756	1008	323
757	1009	322
758	1010	320
759	1010	319
760	1012	317
761	1013	316
762	1014	315
763	1015	313
764	1015	312
765	1016	310
766	1017	309
767	1018	307
768	1019	306
769	1020	304
770	1021	303
771	1022	302
772	1023	300
773	1024	299
774	1026	298
775	1027	296
776	1028	295
777	1029	293
778	1031	292
779	1033	291
780	1034	289
781	1038	289
782	1040	288
783	1041	287
784	1043	285
785	1044	284
786	1046	283
787	1048	282
788	1052	281
789	1054	280
790	1055	278
791	1056	277
792	1058	276
793	1059	274
794	1060	273
795	1061	272
796	1062	270
797	1063	269
798	1065	267
799	1066	266
800	1068	265
801	1070	264
802	1071	262
803	1072	261
804	1073	260
805	1075	258
806	1076	257
807	1078	256
808	1084	256
